What are the NNTs for anticonvulsants in neuropathic pain?	Card 1	(2015-09-30)	Palliative Care SCE
In the Cochrane review for radiotherapy for painful bone mets (2008) what is the evidence of efficacy?	Card 1	2015-11-17	Palliative Care SCE
In the Cochrane Review 'Bisphosphonates in multiple myeloma (2011)', what is the level of evidence that bisphosphonates reduce pathological vertebral fractures?	Card 1	2015-11-17	Palliative Care SCE
In Cochrane Reviews, what is the evidence for 5HT3 antagonsists for highly emetogenic chemotherapy?	Card 1	2015-11-17	Palliative Care SCE
What is the NNT for opioids in neuropathic pain?	Card 1	2015-11-17	Palliative Care SCE
What is the level of evidence for corticosteroids in malignant bowel obstruction (gynae and GI)?	Card 1	2015-11-17	Palliative Care SCE
What is the NNT for corticosteroids in malignant bowel obstruction (gynae and GI)?	Card 1	2015-11-17	Palliative Care SCE
What is the level of evidence for the topical management of dry mouth?	Card 1	2015-11-17	Palliative Care SCE
What is the level of evidence for medically assisted hydration?	Card 1	2015-11-17	Palliative Care SCE
What is the evidence for the use of medication for anxiety in palliative care?	Card 1	2015-11-17	Palliative Care SCE
If a person has an ICD, what is the effect on their licence to drive?	Card 1	2015-11-17	Palliative Care SCE
What is the level of evidence for rivaroxaban?	Card 1	2015-11-17	Palliative Care SCE
What is the mode of action of abiraterone?	Card 1	2015-11-17	Palliative Care SCE
Avoid using {{c1::risperidone}} as an antipsychotic in Parkinson's disease as it has a high risk of {{c2::extrapyramidal side effects}}.	Cloze 2	2015-11-17	Palliative Care SCE
In managing fatigue in MS, {{c1::amantadine}} has {{c2::some clinical effect}}.	Cloze 1	2015-11-17	Palliative Care SCE
Baclofen withdrawal syndrome can include symptoms similar to {{c1::neuroleptic malignant syndrome}} and {{c3::perceptual disturbance (hallucinations, delirium, confusion)}}, in the context of {{c2::abruptly stopping baclofen}}.	Cloze 3	2015-11-17	Palliative Care SCE
Treatment for left ventricular failure is 1st line {{c1::ACE inhibitor or ARB if ACE-i intolerant}}.  2nd line {{c2::spironolactone}} (especially if {{c3::NYHF III/IV in the past month}}), {{c4::eplenerone}}, {{c5::ARB}}, if Afro-caribbean - {{c6::hydralazine}}. 3rd line {{c7::digoxin}} if refractory to 1st or 2nd line treatment, {{c8::cardioresynchronisation therapy}}.	Cloze 1	2015-11-17	Palliative Care SCE
Treatment for left ventricular failure is 1st line {{c1::ACE inhibitor or ARB if ACE-i intolerant}}.  2nd line {{c2::spironolactone}} (especially if {{c3::NYHF III/IV in the past month}}), {{c4::eplenerone}}, {{c5::ARB}}, if Afro-caribbean - {{c6::hydralazine}}. 3rd line {{c7::digoxin}} if refractory to 1st or 2nd line treatment, {{c8::cardioresynchronisation therapy}}.	Cloze 6	2015-11-17	Palliative Care SCE
A person who is too breathless to leave the house, or is breathless when dressing or undressing is graded on the MRC breathlessness scale at {{c1::5}}.	Cloze 1	2015-11-17	Palliative Care SCE
In idiopathic pulmonary fibrosis, NICE {{c1::do not recommend}} the use of {{c2::steroids}} for treatment.	Cloze 1	2015-11-17	Palliative Care SCE
In MND, if a patient's sats are low, check the ABG. If their {{c1::CO2 is normal}} then refer to the NIV service. If their {{c2::CO2 is >6}}, then urgently refer for NIV within one week.	Cloze 2	2015-11-17	Palliative Care SCE
Aim to insert a PEG into patients with MND, before their {{c1::FVC <50%}} or {{c2::aspiration pneumonia}} or {{c3::significant weight loss}}.	Cloze 2	2015-11-17	Palliative Care SCE
If the eGFR is 15-29, then the patient has {{c1::Stage 4}} kidney disease.	Cloze 1	2015-11-17	Palliative Care SCE
What is required of Schedule 2 drugs?	Card 1	2015-11-17	Palliative Care SCE
A patient with lymphoedema and suspected cellulitis should be admitted to hospital if they have {{c1::signs of severe sepsis}}, {{c2::continued deterioration of systemic clinical signs after 48 hours of PO antibiotics}}, {{c3::continued worsening of local signs despite trials of first and second line ABx}}.	Cloze 3	2015-11-17	Palliative Care SCE
What does this ECG show? torsadesdepointessoutenue.jpg	Card 1	2015-11-17	Palliative Care SCE
The coeliac plexus innervates the abdominal viscera from the {{c1::bottom of the oesophagus}}, to {{c2::half-way along the transverse colon}}, including the {{c3::liver, pancreas, spleen and kidneys}}.	Cloze 3	2015-11-17	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~6500}} new {{c2::bladder cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 1	2015-11-17	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~6000}} new {{c2::non-Hodgkins lymphoma}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 2	2015-11-17	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~3000}} new {{c2::leukaemia}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 2	2015-11-17	Palliative Care SCE
All patients having coeliac plexus blocks require {{c1::IV fluids}} during the procedure, because of the risk of {{c2::hypotension}}.	Cloze 2	2015-11-17	Palliative Care SCE
{{c1::Monoamine oxidase inhibitors}} are {{c2::not recommended}} in palliative care.	Cloze 2	2015-11-17	Palliative Care SCE
{{c1::IV ondansetron}} can be used to relieve pruritus induced by {{c2::spinal opioids}}.	Cloze 2	2015-11-17	Palliative Care SCE
If there is concurrent use of the antidepressants which are {{c1::SSRIs}} with an NSAID, the risks of NSAID related upper GI complications are significantly increased.	Cloze 1	2015-11-17	Palliative Care SCE
If the FBC shows there is {{c1::thrombopenia (<50x109/L)}}, the risks of NSAID related upper GI complications are significantly increased.	Cloze 1	2015-11-17	Palliative Care SCE
Postmenopausal women with ER positive early breast cancer should be considered for treatment with {{c1::aromatase inhibitors}} as an alternative to {{c2::tamoxifen}}.	Cloze 2	2015-11-17	Palliative Care SCE
Morphine-6-glucronide is an {{c1::active}} metabolite, which binds to {{c2::opioid}} receptors.	Cloze 2	2015-11-17	Palliative Care SCE
Bisphosphonates are a stable analogue of {{c1::pyrophosphate}}.	Cloze 1	2015-11-17	Palliative Care SCE
In {{c1::breast cancer}}, {{c2::zolendronate}}, given monthly for 1 year reduces the risk of a skeletal related event by {{c3::~40%}} when compared with placebo.	Cloze 2	2015-11-17	Palliative Care SCE
{{c1::Androgen deprivation treatment}} in prostate cancer results in {{c2::increased bone loss}}.	Cloze 2	2015-11-17	Palliative Care SCE
{{c2::Acute systemic inflammatory reactions causing symptoms}} (arthralgia, fever, myalgia, nausea, vomiting) occur in {{c1::25%}} of patients who have {{c3::IV bisphosphonates}}.	Cloze 3	2015-11-17	Palliative Care SCE
Steroids reduce the {{c1::permeability}} {{c2::of the chemoreceptor-trigger zone}}.	Cloze 2	2015-11-17	Palliative Care SCE
{{c1::5mg}} prednisolone = {{c2::0.75mg}} dexamethasone.	Cloze 1	2015-11-17	Palliative Care SCE
Cachexia is defined as: 1. Loss of {{c1::skeletal muscle and body fat}} 2. Loss which {{c2::cannot be reversed by conventional nutritional support}}.	Cloze 1	2015-11-17	Palliative Care SCE
Thalidomide is associated with: 1. {{c1::Arrhythmia}} 2. {{c2::Oedema}} 3. {{c3::Hypotension}}	Cloze 2	2015-11-17	Palliative Care SCE
Severe skin reactions, such as {{c1::Stevens-Johnson syndrome and toxic epidermal necrolysis}} may occur with {{c2::thalidomide}}.	Cloze 1	2015-11-17	Palliative Care SCE
Peripheral neuropathy is graded: 1. {{c1::No}} loss of function 2. {{c2::Interfering with}} function, but not with {{c2::activities of daily living}} 3. {{c3::Interfering}} with ADLs 4. {{c4::Disabling}}	Cloze 2	2015-11-17	Palliative Care SCE
In anaemia of chronic disease, plasma ferritin is {{c1::high}}, and transferrin concentration is {{c2::low}}.	Cloze 2	2015-11-17	Palliative Care SCE
{{c1::Substance P}} is released from {{c2::C-fibres}}.	Cloze 1	2015-11-17	Palliative Care SCE
Baclofen works at {{c1::GABA}}-receptors.	Cloze 1	2015-11-17	Palliative Care SCE
A diclofenac patch will need to be removed before an {{c1::MRI}} scan.	Cloze 1	2015-11-17	Palliative Care SCE
A patient with uterine cancer reports darkening of her neck:  acanthosis_nigricans_1_high.jpg  What is this?	Card 1	2015-11-17	Palliative Care SCE
A patient with NHL reports dysphagia, difficulty with getting up from a chair and climbing stairs. There is no rash. What is the likely cause?	Card 1	2015-11-17	Palliative Care SCE
CK levels in polymyositis?	Card 1	2015-11-17	Palliative Care SCE
SEs of CYCLIZINE	Card 1	2015-11-18	Palliative Care SCE
Dosage and uses of METACLOPROMIDE	Card 1	2015-11-18	Palliative Care SCE
Mx of spinal cord compression	Card 1	2015-11-18	Palliative Care SCE
Mx of malignant hypercalcaemia	Card 1	2015-11-18	Palliative Care SCE
Mechanism of action of diabetes drugs	Card 1	2015-11-18	Palliative Care SCE
According to the DPP, what are the public interest factors which trend against prosecution for assisted suicide?	Card 1	2015-11-18	Palliative Care SCE
What is the level of evidence regarding laxatives and palliative care?	Card 1	2015-11-18	Palliative Care SCE
In England and Wales, what types of Lasting power of attorney are there?	Card 1	2015-11-18	Palliative Care SCE
What happens to the blood brain barrier in renal failure?	Card 1	2015-11-18	Palliative Care SCE
What is the equivalent of the IT route to oral route of morphine?	Card 1	2015-11-18	Palliative Care SCE
How is a clinical risk rating calculated?	Card 1	2015-11-18	Palliative Care SCE
What does CURB-65 stand for?	Card 1	2015-11-18	Palliative Care SCE
What is the risk of diarrhoea after a coeliac plexus block?	Card 1	2015-11-18	Palliative Care SCE
What is nalogexol?	Card 1	2015-11-18	Palliative Care SCE
In the Cochrane Review 'Insertion of a stent improves symptoms in superior vena cava obstruction caused by lung cancer, while chemotherapy and radiotherapy can also be effective (2001)' what is the recurrence rate after chemotherapy and radiotherapy?	Card 1	2015-11-18	Palliative Care SCE
In the Cochrane Review 'Bisphosphonates in multiple myeloma (2011)' what is the level of evidence that bisphosphonates reduce skeletal events?	Card 1	2015-11-18	Palliative Care SCE
In the Cochrane Review 'Bisphosphonates in multiple myeloma (2011)', what is the NNT to prevent pain?	Card 1	2015-11-18	Palliative Care SCE
According to Cochrane Reviews, what is the NNH for the use of tramadol in neuropathic pain?	Card 1	2015-11-18	Palliative Care SCE
When should radioisotopes in bone pain be reserved for?	Card 1	2015-11-18	Palliative Care SCE
What is the efficacy of amitryptiline in neuropathic pain and fibromyalgia?	Card 1	2015-11-18	Palliative Care SCE
What is the level of evidence for the use of methylphenidate in cancer-related fatigue?	Card 1	2015-11-18	Palliative Care SCE
What is the level of evidence for the use of palliative pharmacological sedation in the terminally ill?	Card 1	2015-11-18	Palliative Care SCE
According the DVLA, for how long should a licence holder not drive after a provoked seizure or diagnosis of epilepsy in the following?   a) Category 1 licence b) Category 2 licence	Card 1	2015-11-18	Palliative Care SCE
If a person has a malignant brain tumour, what is the effect on their licence to drive?	Card 1	2015-11-18	Palliative Care SCE
If a person has diabetes, what is the effect on their licence to drive?	Card 1	2015-11-18	Palliative Care SCE
If a person has dementia, what is the effect on their licence to drive?	Card 1	2015-11-18	Palliative Care SCE
What is the NNH for melatonin?	Card 1	2015-11-18	Palliative Care SCE
What is the marketing authorisation for denosumab?	Card 1	2015-11-18	Palliative Care SCE
{{c1::Thalamic/subthalamic stimulation}} is considered in Parkinson's patients whose symptoms are {{c2::refractory to best medical therapy}}, and are fit, with {{c3::no mental health problems}}.	Cloze 3	2015-11-18	Palliative Care SCE
When should PEG feeding be considered in MS?	Card 1	2015-11-18	Palliative Care SCE
In MS, beta-interferon/glatiramer is offered to patients with secondary progressive MS when there are {{c1::2 or more relapses in 2 years}}, and who are {{c2::mobile >10m}}, but the disease is {{c3::not rapidly progressive}}.	Cloze 1	2015-11-18	Palliative Care SCE
In heart failure, {{c1::colchicine}} should be used for acute gout, {{c2::allopurinol}} to prevent acute gout.	Cloze 2	2015-11-18	Palliative Care SCE
The EAPC document on depression in heart failure recommends {{c1::SSRIs}}, {{c2::sertraline}} or {{c3::mirtazapine}}.	Cloze 3	2015-11-18	Palliative Care SCE
In idiopathic pulmonary fibrosis, NICE {{c1::do not recommend}} the use of {{c2::steroids}} for treatment.	Cloze 2	2015-11-18	Palliative Care SCE
A Caldecott Guardian is a senior person responsible for {{c1::protecting the confidentiality of patient and service-user information}} and {{c2::enabling appropriate information-sharing}}.	Cloze 1	2015-11-18	Palliative Care SCE
A {{c1::licence}} is required to export {{c2::Schedule 2}} drugs.	Cloze 2	2015-11-18	Palliative Care SCE
If there is a history of animal bite in cellulitis where the patient has lymphoedema, then the first line antibiotic is {{c1::co-amoxiclav 625mg TDS}}. If penicillin-allergic, then {{c3::ciprofloxacin 500mg 12 hourly}}. For a second line, {{c2::discuss with a microbiologist}}	Cloze 3	2015-11-18	Palliative Care SCE
Sativex is a Schedule {{c1::4}} drug, which is subject to {{c2::full export/import control}}.	Cloze 1	2015-11-18	Palliative Care SCE
Cordotomy is good for patients with {{c1::pain in a hemi-quadrant}}, {{c2::pain more than a hands breadth away from the mid line}}, {{c3::pain below C4}}, and the patient's prognosis is {{c4::<2 years}}.	Cloze 2	2015-11-18	Palliative Care SCE
{{c1::Talc}} is the most effective sclerosant available for {{c2::pleurodesis}}.	Cloze 2	2015-11-18	Palliative Care SCE
Lambert-Eaton syndrome is associated with {{c1::some autonomic symptoms}} such as xerostomia and impotence.	Cloze 1	2015-11-18	Palliative Care SCE
A {{c1::superior hypogastric plexus block}} may help pain arising from {{c2::pelvic organs}}.	Cloze 1	2015-11-18	Palliative Care SCE
Amitryptiline is a {{c1::tricyclic antidepressant}} whose mode of action is {{c2::blocking presynaptic re-uptake of serotonin and noradrenaline}}.	Cloze 1	2015-11-18	Palliative Care SCE
The coeliac plexus arises from the {{c1::sympathetic fibres}} of the {{c2::splanchnic nerves}} from {{c3::T5-T12}}.	Cloze 1	2015-11-18	Palliative Care SCE
Nortriptyline is a {{c1::noradrenaline reuptake inhibitor}} and a {{c2::TCA}}.	Cloze 1	2015-11-18	Palliative Care SCE
{{c1::Fluoxetine}} and {{c2::paroxetine }} are strong hepatic enzyme inhibitors.	Cloze 2	2015-11-18	Palliative Care SCE
NSAIDs can cause a protein losing {{c1::enteropathy}} in the {{c2::small bowel}}.	Cloze 1	2015-11-18	Palliative Care SCE
NSAIDs can cause a protein losing {{c1::enteropathy}} in the {{c2::small bowel}}.	Cloze 2	2015-11-18	Palliative Care SCE
Patients with SCLC should be considered for palliative {{c1:: thoracic radiotherapy}} if they have significant {{c2::chest symptoms}} and other treatments have been ineffective or are considered inappropriate.	Cloze 1	2015-11-18	Palliative Care SCE
What does the CHADS2 score stand for?	Card 1	2015-11-18	Palliative Care SCE
What opioid receptors does buprenorphine act on?	Card 1	2015-11-18	Palliative Care SCE
Morphine is {{c1::water}} soluble.	Cloze 1	2015-11-18	Palliative Care SCE
NICE Guidelines suggest {{c1::bisphosphonates}} are given to men with prostate cancer who are receiving {{c2::androgen deprivation therapy}} who also have {{c3::osteoporosis}}.	Cloze 1	2015-11-18	Palliative Care SCE
Steroids reduce the {{c1::permeability}} {{c2::of the chemoreceptor-trigger zone}}.	Cloze 1	2015-11-18	Palliative Care SCE
The symptoms of steroid psychosis can take {{c1::1-2 weeks}} to resolve after cessation of treatment.	Cloze 1	2015-11-18	Palliative Care SCE
In cancer-related anxorexia-cachexia syndrome, {{c1::IL-1 and TNF}} act on the {{c2::hypothalamus and skeletal muscle}}.	Cloze 2	2015-11-18	Palliative Care SCE
A {{c1::pruritic and maculopapular}} rash may occur {{c2::10-14 days}} after starting {{c3::thalidomide}}.	Cloze 2	2015-11-18	Palliative Care SCE
Skin complications from thalidomide appear {{c2::more likely}} when combined with {{c1::corticosteroids}}.	Cloze 2	2015-11-18	Palliative Care SCE
In anaemia of chronic disease, plasma ferritin is {{c1::high}}, and transferrin concentration is {{c2::low}}.	Cloze 1	2015-11-18	Palliative Care SCE
What receptor does ketamine act on?	Card 1	2015-11-18	Palliative Care SCE
What is the conversion from oral morphine to buprenorphine?	Card 1	2015-11-18	Palliative Care SCE
To treat acute akathisia caused by antipsychotics: 1. {{c1::Stop, switch or reduce}} the causative drug 2. Add {{c2::propranolol 10mg tds}} increasing every few days to 40mg tds max 3. Add a {{c3::BZD}} if the patient is very distressed	Cloze 2	2015-11-18	Palliative Care SCE
To treat acute akathisia caused by antipsychotics: 1. {{c1::Stop, switch or reduce}} the causative drug 2. Add {{c2::propranolol 10mg tds}} increasing every few days to 40mg tds max 3. Add a {{c3::BZD}} if the patient is very distressed	Cloze 3	2015-11-18	Palliative Care SCE
NICE recommends nutritional support for patients with: - BMI <{{c1::18}} - Unintentional weight loss of >{{c2::10%}} in the last {{c2::3-6}} months - BMI <{{c3::20}} and unintentional weight loss of >{{c3::5%}} - Inadequate oral intake for >{{c4::5}} days - {{c5::malabsorption}}, increased {{c5::nutrient}} losses, increased {{c5::catabolism}}.	Cloze 5	2015-11-18	Palliative Care SCE
Patients who have two or more of the following are at high risk of refeeding syndrome: - BMI <{{c1::18}} - Unintentional weight loss of >{{c2::15}}% in the past {{c2::3-6}} months - Little to no nutritional intake for >{{c3::5}} days - Hx of {{c4::ETOHXS}}, {{c5::drug abuse}}, {{c6::IDDM}}, concurrent {{c7::chemotherapy}}, {{c8::antacids}}, {{c9::diuretics}}	Cloze 7	2015-11-18	Palliative Care SCE
What features of depression mean that a patient is at high risk of suicide?	Card 1	2015-11-18	Palliative Care SCE
A blood test comes back anti-Jo-1 antibody +ve. What paraneoplastic syndrome is associated with this result?	Card 1	2015-11-18	Palliative Care SCE
Hx of bone pain	Card 1	2015-11-19	Palliative Care SCE
Causes of constipation	Card 1	2015-11-19	Palliative Care SCE
HALOPERIDOL method of action	Card 1	2015-11-19	Palliative Care SCE
Diagnosis of depression	Card 1	2015-11-19	Palliative Care SCE
Mechanism of action of tolvaptan	Card 1	2015-11-19	Palliative Care SCE
Risk factors for venous thromboembolism according to NICE	Card 1	2015-11-19	Palliative Care SCE
Diagnosis of death?	Card 1	2015-11-19	Palliative Care SCE
What is the evidence for benzodiazepines in breathlessness	Card 1	2015-11-19	Palliative Care SCE
Itch in palliative care (cochrane review)	Card 1	2015-11-19	Palliative Care SCE
What is the definition of NNT?	Card 1	2015-11-19	Palliative Care SCE
What must an LPA be in order to be valid?	Card 1	2015-11-19	Palliative Care SCE
What would make an ADRT invalid?	Card 1	2015-11-19	Palliative Care SCE
What is the risk of spinal cord damage with permanent paraplegia and incontinence from a coeliac axis block?	Card 1	2015-11-19	Palliative Care SCE
You are doing a paracentesis. You look for local anasthetic, and find lidocaine, 2%. What does this mean?a) 2mg lidocaine in 1000mlb) Purity of 2% ABVc) 20mg lidocaine in 1000mld) The vial needs to be diluted with 2% of the vial in 100ml normal salinee) You only need to use 2% of the vial.	Card 1	2015-11-19	Palliative Care SCE
In the Cochrane review for radiotherapy for painful bone mets (2008) what is the number needed to treat?	Card 1	2015-11-19	Palliative Care SCE
According to Cochrane Reviews, what is the level of evidence for antiepileptics in the management of neuropathic pain?	Card 1	2015-11-19	Palliative Care SCE
According to Cochrane Reviews, what is the level of evidence that methadone is effective in cancer pain?	Card 1	2015-11-19	Palliative Care SCE
In Cochrane Reviews, what proportion of patients report an increase in appetite with megesterol?	Card 1	2015-11-19	Palliative Care SCE
What is the level of evidence for radioisotopes in bone pain?	Card 1	2015-11-19	Palliative Care SCE
What is the evidence for the use of end of life pathways improving outcomes in caring for the dying?	Card 1	2015-11-19	Palliative Care SCE
What is the evidence for nebulised morphine for severe interstitial lung disease?	Card 1	2015-11-19	Palliative Care SCE
If a person has lost consciousness twice, and is found to be of a CVS origin, what is the effect on their licence to drive?	Card 1	2015-11-19	Palliative Care SCE
What is the guidance regarding targinact?	Card 1	2015-11-19	Palliative Care SCE
When should herceptin be used?	Card 1	2015-11-19	Palliative Care SCE
Anti-parkinson's medications should not be withdrawn abruptly as this can lead to {{c1::acute akinesia or neuroleptic malignant syndrome}}	Cloze 1	2015-11-19	Palliative Care SCE
In MS, if regualar medical therapies fail in urinary incontinence, consider a {{c1::long term cathether}}.	Cloze 1	2015-11-19	Palliative Care SCE
In MS, beta-interferon/glatiramer is offered to patients with {{c1::relapsing/remitting disease}}, with {{c2::2 or more relapses in 2 years}} and who are {{c3::mobile >100m}}.	Cloze 3	2015-11-19	Palliative Care SCE
Treatment for left ventricular failure is 1st line {{c1::ACE inhibitor or ARB if ACE-i intolerant}}.  2nd line {{c2::spironolactone}} (especially if {{c3::NYHF III/IV in the past month}}), {{c4::eplenerone}}, {{c5::ARB}}, if Afro-caribbean - {{c6::hydralazine}}. 3rd line {{c7::digoxin}} if refractory to 1st or 2nd line treatment, {{c8::cardioresynchronisation therapy}}.	Cloze 2	2015-11-19	Palliative Care SCE
What drugs are to be avoided in heart failure?	Card 1	2015-11-19	Palliative Care SCE
Alice is restricted in physically strenuous activity but ambulatory and able to carry out work of a light or sedentary nature, e.g., light house work, office work.   Her Eastern Cooperative Oncology Group score is {{c1::1}}.	Cloze 1	2015-11-19	Palliative Care SCE
How long can a PEG last?	Card 1	2015-11-19	Palliative Care SCE
What is the recommended drug treatment for vascular dementia?	Card 1	2015-11-19	Palliative Care SCE
Prescriptions for Schedule 2, 3 and 4 are valid for {{c1::28 days}}.	Cloze 1	2015-11-19	Palliative Care SCE
What eGFR is Stage 3 kidney disease?	Card 1	2015-11-19	Palliative Care SCE
What is the management of restless legs in renal impairment?	Card 1	2015-11-19	Palliative Care SCE
The Caldecott Guardian's role is {{c1::strategic}} and they {{c2::represent and champion IG requirements/issues}} at the {{c3::Board or management level}}.	Cloze 3	2015-11-19	Palliative Care SCE
A patient with lymphoedema and suspected cellulitis should be admitted to hospital if they have {{c1::signs of severe sepsis}}, {{c2::continued deterioration of systemic clinical signs after 48 hours of PO antibiotics}}, {{c3::continued worsening of local signs despite trials of first and second line ABx}}.	Cloze 2	2015-11-19	Palliative Care SCE
If a patient with lymphoedema is being managed at home for cellulitis, the first line antibiotic is {{c1::amoxicillin 500mg TDS}}, the second line is {{c2::clindamycin 300mg QDS}}.	Cloze 1	2015-11-19	Palliative Care SCE
Cocaine is a Schedule {{c1::2}} drug.	Cloze 1	2015-11-19	Palliative Care SCE
Cordotomy is good for patients with {{c1::pain in a hemi-quadrant}}, {{c2::pain more than a hands breadth away from the mid line}}, {{c3::pain below C4}}, and the patient's prognosis is {{c4::<2 years}}.	Cloze 3	2015-11-19	Palliative Care SCE
What is the failure rate of cordotomy?	Card 1	2015-11-19	Palliative Care SCE
In cordotomy, {{c2::1 in 20}} patients can experience weakness for up to {{c1::4 weeks}} post procedure.	Cloze 2	2015-11-19	Palliative Care SCE
This is a picture of a patient's axilla. They are a type II diabetic. What is this? m-h_photo_of_acanthosis_nigricans.jpg	Card 1	2015-11-19	Palliative Care SCE
In Lambert-Eaton syndrome, {{c1::distal tendon reflexes}} are {{c2::reduced}} or {{c3::absent}}.	Cloze 1	2015-11-19	Palliative Care SCE
In Lambert-Eaton syndrome, {{c1::distal tendon reflexes}} are {{c2::reduced}} or {{c3::absent}}.	Cloze 2	2015-11-19	Palliative Care SCE
Thoracoscopy is a {{c1::safe procedure}} with {{c2::low complication rates}}.	Cloze 2	2015-11-19	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~16000}} new {{c2::lung cancer}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 3	2015-11-19	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~5000}} new {{c2::oesophageal cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 2	2015-11-19	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~4000}} new {{c2::pancreatic cancer}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 3	2015-11-19	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~5000}} new {{c2::renal cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 1	2015-11-19	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~4000}} new {{c2::lip/oral cavity/pharynx cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 3	2015-11-19	Palliative Care SCE
{{c1::Bioavailiblity}} is the fraction of an administered dose of unchanged drug that reaches the systemic circulation.	Cloze 1	2015-11-19	Palliative Care SCE
The main metabolite of Hydromorphine is {{c1::hydromorphone-3-glucuronide}} which is an {{c2::inactive metabolite}}.	Cloze 1	2015-11-19	Palliative Care SCE
The main metabolite of Hydromorphine is {{c1::hydromorphone-3-glucuronide}} which is an {{c2::inactive metabolite}}.	Cloze 2	2015-11-19	Palliative Care SCE
A Miami-J collar limits {{c1::flexion, extension and rotation}} between {{c2::C2 and C5}}.	Cloze 2	2015-11-19	Palliative Care SCE
{{c1::Monoamine oxidase inhibitors}} are {{c2::not recommended}} in palliative care.	Cloze 1	2015-11-19	Palliative Care SCE
The antibacterials {{c1::linezolid}} and {{c2::furazolidone}} have clinically relevant serotinergic activity.	Cloze 2	2015-11-19	Palliative Care SCE
A combination of IV metoclopromide and IV ondansetron occasionally causes {{c1::cardiac arrythmias}}.	Cloze 1	2015-11-19	Palliative Care SCE
According to SIGN guidelines, patients with a solitary brain met who have SCLC or NSCLC should be offered surgical {{c1::resection}} followed by adjuvant {{c2::chemotherapy}}.	Cloze 2	2015-11-19	Palliative Care SCE
Second line systemic anticancer therapy with single agent {{c1::docetaxel or erlotinib}} should be considered for patients with performance status 0-2 recurrent NSCLC who have been previously treated with {{c2::first line agents}}.	Cloze 2	2015-11-19	Palliative Care SCE
Pre-menopausal women with ER positive invasive breast cancer should be treated with {{c1::tamoxifen}} for at least {{c2:: five years, to a total of ten years}}, unless there are contraindications or side effects.	Cloze 1	2015-11-19	Palliative Care SCE
Postmenopausal women with ER positive early breast cancer should be considered for treatment with {{c1::aromatase inhibitors}} as an alternative to {{c2::tamoxifen}}.	Cloze 1	2015-11-19	Palliative Care SCE
The effect of NSAIDs on the {{c3::kidney}} may cause sulphonureas to {{c1::accumulate}}, putting the patient at risk of {{c2::hypoglycaemia}}.	Cloze 2	2015-11-19	Palliative Care SCE
The main metabolites of morphine are {{c1::morphine-3-glucronide}} and {{c2::morphine-6-glucronide}}.	Cloze 1	2015-11-19	Palliative Care SCE
The presence of cloudy urine, dysuria and recent-onset nocturia, have a positive predictive value of {{c1::82%}} for UTI.	Cloze 1	2015-11-19	Palliative Care SCE
The signs of severe C. difficile infection are: {{c1::T >38.5}} {{c2::HR >100 BPM}} {{c3::WCC >15}} {{c4::Creatinine rising >50% above baseline}} {{c5::Clinical/Radiographical evidence of colitis}}	Cloze 5	2015-11-19	Palliative Care SCE
{{c2::Acute systemic inflammatory reactions causing symptoms}} (arthralgia, fever, myalgia, nausea, vomiting) occur in {{c1::25%}} of patients who have {{c3::IV bisphosphonates}}.	Cloze 2	2015-11-19	Palliative Care SCE
Severe chemotherapy/radiotherapy-related diarrhoea is defined as: 1. {{c1::>7 stools/day over baseline}} 2. {{c2::Hospital admission}} 3. {{c3::IV fluids}}	Cloze 2	2015-11-19	Palliative Care SCE
Progestogens may improve appetite by increasing {{c1::orexogenic neurotransmitters}} in the hypothalamus.	Cloze 1	2015-11-19	Palliative Care SCE
Megestrol acetate increases appetite in {{c1::25%}} of patients.	Cloze 1	2015-11-19	Palliative Care SCE
Dutasteride and finasteride are {{c1::5-alpha-reductase inhibitors}}.	Cloze 1	2015-11-19	Palliative Care SCE
For capsasin, what is the NNT for pain which is 'much or very much better' in HIV related neuropathic pain at 12 weeks?	Card 1	2015-11-19	Palliative Care SCE
What does a history of previous suicide attempts do to a patient's suicide risk?	Card 1	2015-11-19	Palliative Care SCE
If a a patient has a {{c2::personality}} disorder and {{c3::depressed}}, they are at {{c1::high}} risk for {{c4::suicide}}.	Cloze 1	2015-11-19	Palliative Care SCE
If a depressed patient has a history of {{c1::previous suicide attempts}} or {{c2::self harm}}, they are a {{c3::high}} risk for suicide.	Cloze 2	2015-11-19	Palliative Care SCE
{{c1::1}}% of people who start clozapine have {{c2::agranulocytosis}}.	Cloze 2	2015-11-19	Palliative Care SCE
