"<font color=""#800080"">Causes of pain in palliative care</font>"	Soft tissue<div><br /></div><div>Visceral</div><div><br /></div><div>Nervous</div><div><br /></div><div>Bone</div><div><br /></div><div>Spasm</div><div><br /></div><div>Raised IC pressure</div><div><br /></div><div>Exacerbated by PSYCH, SOCIAl, SPIRITUAL factors</div>
Cordotomy is good for patients with&nbsp;pain in a hemi-quadrant,&nbsp;pain more than a hands breadth away from the mid line,&nbsp;pain below C4, and the patient's prognosis is&nbsp;<span class=cloze>[...]</span>.	Cordotomy is good for patients with&nbsp;pain in a hemi-quadrant,&nbsp;pain more than a hands breadth away from the mid line,&nbsp;pain below C4, and the patient's prognosis is&nbsp;<span class=cloze>&lt;2 years</span>.<br><br>
What is the failure rate of cordotomy?	1 in 10
What is the risk of permanent weakness in cordotomy?	1 in 600
All patients will experience a minor change in sensation after cordotomy on the&nbsp;<span class=cloze>[...]</span>.	All patients will experience a minor change in sensation after cordotomy on the&nbsp;<span class=cloze>ipsilateral side of the body</span>.<br><br>
In cordotomy, 1 in 20 patients can experience weakness for up to&nbsp;<span class=cloze>[...]</span> post procedure.	In cordotomy, 1 in 20 patients can experience weakness for up to&nbsp;<span class=cloze>4 weeks</span> post procedure.<br><br>
In cordotomy, <span class=cloze>[...]</span> patients can experience weakness for up to&nbsp;4 weeks post procedure.	In cordotomy, <span class=cloze>1 in 20</span> patients can experience weakness for up to&nbsp;4 weeks post procedure.<br><br>
"<div>This is a picture of a patient's axilla. They are a type II diabetic. What is this?</div><img src=""m-h_photo_of_acanthosis_nigricans.jpg"" />"	Acanthosis nigricans
A&nbsp;<span class=cloze>[...]</span> showed that BZDs and Z-drugs have an NNT of 13, and an NNH of&nbsp;6.	A&nbsp;<span class=cloze>meta-analysis</span> showed that BZDs and Z-drugs have an NNT of 13, and an NNH of&nbsp;6.<br><br>
A&nbsp;meta-analysis showed that BZDs and Z-drugs have an NNT of <span class=cloze>[...]</span>, and an NNH of&nbsp;6.	A&nbsp;meta-analysis showed that BZDs and Z-drugs have an NNT of <span class=cloze>13</span>, and an NNH of&nbsp;6.<br><br>
A&nbsp;meta-analysis showed that BZDs and Z-drugs have an NNT of 13, and an NNH of&nbsp;<span class=cloze>[...]</span>.	A&nbsp;meta-analysis showed that BZDs and Z-drugs have an NNT of 13, and an NNH of&nbsp;<span class=cloze>6</span>.<br><br>
In the event of opioid toxicity, a 400mcg naloxone ampoule should be diluted to&nbsp;<span class=cloze>[...]</span>, and&nbsp;0.5ml/20mcg given repeatedly until the patient's respiratory rate is satisfactory	In the event of opioid toxicity, a 400mcg naloxone ampoule should be diluted to&nbsp;<span class=cloze>10ml</span>, and&nbsp;0.5ml/20mcg given repeatedly until the patient's respiratory rate is satisfactory<br><br>
In the event of opioid toxicity, a 400mcg naloxone ampoule should be diluted to&nbsp;10ml, and&nbsp;<span class=cloze>[...]</span> given repeatedly until the patient's respiratory rate is satisfactory	In the event of opioid toxicity, a 400mcg naloxone ampoule should be diluted to&nbsp;10ml, and&nbsp;<span class=cloze>0.5ml/20mcg</span> given repeatedly until the patient's respiratory rate is satisfactory<br><br>
The Cochrane review on breathlessness (2007) says that there is&nbsp;<span class=cloze>[...]</span> evidence that oral or parentral opioids improve breathlessness.	The Cochrane review on breathlessness (2007) says that there is&nbsp;<span class=cloze>strong</span> evidence that oral or parentral opioids improve breathlessness.<br><br>
A&nbsp;<span class=cloze>[...]</span> may help with pain from the&nbsp;perineum, rectum and anus.	A&nbsp;<span class=cloze>ganglion of impar block</span> may help with pain from the&nbsp;perineum, rectum and anus.<br><br>
A&nbsp;ganglion of impar block may help with pain from the&nbsp;<span class=cloze>[...]</span>.	A&nbsp;ganglion of impar block may help with pain from the&nbsp;<span class=cloze>perineum, rectum and anus</span>.<br><br>
Mirels’ scoring system is based on four characteristics:&nbsp;<div><span class=cloze>[...]</span></div><div>(2) nature of lesion, i.e whether it is lytic, blastic or mixed</div><div>(3) size of lesion</div><div>(4) pain.</div>	Mirels’ scoring system is based on four characteristics:&nbsp;<div><span class=cloze>(1) site of lesion</span></div><div>(2) nature of lesion, i.e whether it is lytic, blastic or mixed</div><div>(3) size of lesion</div><div>(4) pain.</div><br><br>
Mirels’ scoring system is based on four characteristics:&nbsp;<div>(1) site of lesion</div><div><span class=cloze>[...]</span></div><div>(3) size of lesion</div><div>(4) pain.</div>	Mirels’ scoring system is based on four characteristics:&nbsp;<div>(1) site of lesion</div><div><span class=cloze>(2) nature of lesion, i.e whether it is lytic, blastic or mixed</span></div><div>(3) size of lesion</div><div>(4) pain.</div><br><br>
Mirels’ scoring system is based on four characteristics:&nbsp;<div>(1) site of lesion</div><div>(2) nature of lesion, i.e whether it is lytic, blastic or mixed</div><div><span class=cloze>[...]</span></div><div>(4) pain.</div>	Mirels’ scoring system is based on four characteristics:&nbsp;<div>(1) site of lesion</div><div>(2) nature of lesion, i.e whether it is lytic, blastic or mixed</div><div><span class=cloze>(3) size of lesion</span></div><div>(4) pain.</div><br><br>
Mirels’ scoring system is based on four characteristics:&nbsp;<div>(1) site of lesion</div><div>(2) nature of lesion, i.e whether it is lytic, blastic or mixed</div><div>(3) size of lesion</div><div><span class=cloze>[...]</span>.</div>	Mirels’ scoring system is based on four characteristics:&nbsp;<div>(1) site of lesion</div><div>(2) nature of lesion, i.e whether it is lytic, blastic or mixed</div><div>(3) size of lesion</div><div><span class=cloze>(4) pain</span>.</div><br><br>
<div>Other than in patients with a very short life expectancy, <span class=cloze>[...]</span> are preferable to recurrent aspiration in malignant pleural effusion.</div>	<div>Other than in patients with a very short life expectancy, <span class=cloze></div><div>small-bore chest tubes followed by pleurodesis</span> are preferable to recurrent aspiration in malignant pleural effusion.</div><br><br>
<div>Other than in patients with a very short life expectancy, </div><div>small-bore chest tubes followed by pleurodesis are preferable to <span class=cloze>[...]</span> in malignant pleural effusion.</div>	<div>Other than in patients with a very short life expectancy, </div><div>small-bore chest tubes followed by pleurodesis are preferable to <span class=cloze>recurrent aspiration</span> in malignant pleural effusion.</div><br><br>
<div>In patients with malignant pleural effusion, where only <span class=cloze>[...]</span>, chemical pleurodesis may still be attempted and may provide symptomatic relief.</div>	<div>In patients with malignant pleural effusion, where only <span class=cloze>partial pleural apposition can be achieved</span>, chemical pleurodesis may still be attempted and may provide symptomatic relief.</div><br><br>
<div>In patients with malignant pleural effusion, where only partial pleural apposition can be achieved, <span class=cloze>[...]</span> and may provide symptomatic relief.</div>	<div>In patients with malignant pleural effusion, where only partial pleural apposition can be achieved, <span class=cloze>chemical pleurodesis may still be attempted</span> and may provide symptomatic relief.</div><br><br>
<div>In patients with malignant pleural effusion, where only partial pleural apposition can be achieved, chemical pleurodesis may still be attempted and may provide <span class=cloze>[...]</span>.</div>	<div>In patients with malignant pleural effusion, where only partial pleural apposition can be achieved, chemical pleurodesis may still be attempted and may provide <span class=cloze>symptomatic relief</span>.</div><br><br>
<span class=cloze>[...]</span> is the most effective sclerosant available for pleurodesis.	<span class=cloze>Talc</span> is the most effective sclerosant available for pleurodesis.<br><br>
Talc is the most effective sclerosant available for <span class=cloze>[...]</span>.	Talc is the most effective sclerosant available for <span class=cloze>pleurodesis</span>.<br><br>
<span class=cloze>[...]</span> is an alternative sclerosant for pleurodesis with a modest efficacy rate.	<span class=cloze>Bleomycin</span> is an alternative sclerosant for pleurodesis with a modest efficacy rate.<br><br>
Bleomycin is an <span class=cloze>[...]</span> for pleurodesis with a modest efficacy rate.	Bleomycin is an <span class=cloze>alternative sclerosant</span> for pleurodesis with a modest efficacy rate.<br><br>
<div><span class=cloze>[...]</span> and fever are the most common side effects of sclerosant administration.&nbsp;</div>	<div><span class=cloze>Pleuritic chest pain</span> and fever are the most common side effects of sclerosant administration.&nbsp;</div><br><br>
<div>Pleuritic chest pain and <span class=cloze>[...]</span> are the most common side effects of sclerosant administration.&nbsp;</div>	<div>Pleuritic chest pain and <span class=cloze>fever</span> are the most common side effects of sclerosant administration.&nbsp;</div><br><br>
<div>Pleuritic chest pain and fever are the <span class=cloze>[...]</span> of sclerosant administration.&nbsp;</div>	<div>Pleuritic chest pain and fever are the <span class=cloze>most common side effects</span> of sclerosant administration.&nbsp;</div><br><br>
Lambert-Eaton syndrome is a&nbsp;<span class=cloze>[...]</span>. It occurs when antibodies are formed against&nbsp;presynaptic&nbsp;calcium channels.	Lambert-Eaton syndrome is a&nbsp;<span class=cloze>paraneoplastic syndrome</span>. It occurs when antibodies are formed against&nbsp;presynaptic&nbsp;calcium channels.<br><br>
Lambert-Eaton syndrome is a&nbsp;paraneoplastic syndrome. It occurs when antibodies are formed against&nbsp;<span class=cloze>[...]</span>&nbsp;calcium channels.	Lambert-Eaton syndrome is a&nbsp;paraneoplastic syndrome. It occurs when antibodies are formed against&nbsp;<span class=cloze>presynaptic</span>&nbsp;calcium channels.<br><br>
Lambert-Eaton syndrome is a&nbsp;paraneoplastic syndrome. It occurs when antibodies are formed against&nbsp;presynaptic&nbsp;<span class=cloze>[...]</span>.	Lambert-Eaton syndrome is a&nbsp;paraneoplastic syndrome. It occurs when antibodies are formed against&nbsp;presynaptic&nbsp;<span class=cloze>calcium channels</span>.<br><br>
In&nbsp;Lambert-Eaton syndrome,&nbsp;<span class=cloze>[...]</span> are&nbsp;reduced or&nbsp;absent.	In&nbsp;Lambert-Eaton syndrome,&nbsp;<span class=cloze>distal tendon reflexes</span> are&nbsp;reduced or&nbsp;absent.<br><br>
In&nbsp;Lambert-Eaton syndrome,&nbsp;distal tendon reflexes are&nbsp;<span class=cloze>[...]</span> or&nbsp;absent.	In&nbsp;Lambert-Eaton syndrome,&nbsp;distal tendon reflexes are&nbsp;<span class=cloze>reduced</span> or&nbsp;absent.<br><br>
In&nbsp;Lambert-Eaton syndrome,&nbsp;distal tendon reflexes are&nbsp;reduced or&nbsp;<span class=cloze>[...]</span>.	In&nbsp;Lambert-Eaton syndrome,&nbsp;distal tendon reflexes are&nbsp;reduced or&nbsp;<span class=cloze>absent</span>.<br><br>
In&nbsp;Lambert-Eaton syndrome&nbsp;<span class=cloze>[...]</span> improves with&nbsp;contraction.	In&nbsp;Lambert-Eaton syndrome&nbsp;<span class=cloze>weakness</span> improves with&nbsp;contraction.<br><br>
In&nbsp;Lambert-Eaton syndrome&nbsp;weakness improves with&nbsp;<span class=cloze>[...]</span>.	In&nbsp;Lambert-Eaton syndrome&nbsp;weakness improves with&nbsp;<span class=cloze>contraction</span>.<br><br>
Lambert-Eaton syndrome is associated with <span class=cloze>[...]</span> such as xerostomia and impotence.	Lambert-Eaton syndrome is associated with <span class=cloze>some autonomic symptoms</span> such as xerostomia and impotence.<br><br>
In Lambert-Eaton syndrome,&nbsp;<span class=cloze>[...]</span>&nbsp;improves with repeated testing.	In Lambert-Eaton syndrome,&nbsp;<span class=cloze>muscle power</span>&nbsp;improves with repeated testing.<br><br>
In Lambert-Eaton syndrome,&nbsp;muscle power&nbsp;<span class=cloze>[...]</span>.	In Lambert-Eaton syndrome,&nbsp;muscle power&nbsp;<span class=cloze>improves with repeated testing</span>.<br><br>
&nbsp;Thoracoscopy is a <span class=cloze>[...]</span> with low complication rates.	&nbsp;Thoracoscopy is a <span class=cloze>safe procedure</span> with low complication rates.<br><br>
&nbsp;Thoracoscopy is a safe procedure with <span class=cloze>[...]</span>.	&nbsp;Thoracoscopy is a safe procedure with <span class=cloze>low complication rates</span>.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new cancer diagnoses registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~280000</span> new cancer diagnoses registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were <span class=cloze>[...]</span> new cancer diagnoses in women, registered in England, in 2012.	According to the Office of National Statistics, there were <span class=cloze>~140000</span> new cancer diagnoses in women, registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new cancer diagnoses in men, registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~145000</span> new cancer diagnoses in men, registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new breast cancer diagnoses registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~43000</span> new breast cancer diagnoses registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~43000 new <span class=cloze>[...]</span> diagnoses registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~43000 new <span class=cloze>breast cancer</span> diagnoses registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new prostate cancer diagnoses registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~37000</span> new prostate cancer diagnoses registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~37000 new <span class=cloze>[...]</span> diagnoses registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~37000 new <span class=cloze>prostate cancer</span> diagnoses registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new lung cancer diagnoses in women registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~16000</span> new lung cancer diagnoses in women registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~16000 new <span class=cloze>[...]</span> diagnoses in women registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~16000 new <span class=cloze>lung cancer</span> diagnoses in women registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~16000 new lung cancer diagnoses <span class=cloze>[...]</span> registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~16000 new lung cancer diagnoses <span class=cloze>in women</span> registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new lung cancer diagnoses in men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~20000</span> new lung cancer diagnoses in men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~20000 new <span class=cloze>[...]</span> diagnoses in men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~20000 new <span class=cloze>lung cancer</span> diagnoses in men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~20000 new lung cancer diagnoses <span class=cloze>[...]</span> registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~20000 new lung cancer diagnoses <span class=cloze>in men</span> registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new colon/rectum cancer diagnoses in women registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~15000</span> new colon/rectum cancer diagnoses in women registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~15000 new <span class=cloze>[...]</span> diagnoses in women registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~15000 new <span class=cloze>colon/rectum cancer</span> diagnoses in women registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~15000 new colon/rectum cancer diagnoses <span class=cloze>[...]</span> registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~15000 new colon/rectum cancer diagnoses <span class=cloze>in women</span> registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new colon/rectum cancer diagnoses in men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~19000</span> new colon/rectum cancer diagnoses in men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~19000 new <span class=cloze>[...]</span> diagnoses in men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~19000 new <span class=cloze>colon/rectum cancer</span> diagnoses in men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~19000 new colon/rectum cancer diagnoses <span class=cloze>[...]</span> registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~19000 new colon/rectum cancer diagnoses <span class=cloze>in men</span> registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new uterine cancer diagnoses registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~7000</span> new uterine cancer diagnoses registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~7000 new <span class=cloze>[...]</span> diagnoses registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~7000 new <span class=cloze>uterine cancer</span> diagnoses registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new bladder cancer diagnoses in men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~6500</span> new bladder cancer diagnoses in men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~6500 new <span class=cloze>[...]</span> diagnoses in men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~6500 new <span class=cloze>bladder cancer</span> diagnoses in men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~6500 new bladder cancer diagnoses <span class=cloze>[...]</span> registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~6500 new bladder cancer diagnoses <span class=cloze>in men</span> registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new ovarian cancer diagnoses registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~6000</span> new ovarian cancer diagnoses registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~6000 new <span class=cloze>[...]</span> diagnoses registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~6000 new <span class=cloze>ovarian cancer</span> diagnoses registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new non-Hodgkins lymphoma diagnoses in men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~6000</span> new non-Hodgkins lymphoma diagnoses in men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~6000 new <span class=cloze>[...]</span> diagnoses in men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~6000 new <span class=cloze>non-Hodgkins lymphoma</span> diagnoses in men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~6000 new non-Hodgkins lymphoma diagnoses <span class=cloze>[...]</span> registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~6000 new non-Hodgkins lymphoma diagnoses <span class=cloze>in men</span> registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new melanoma diagnoses in women and men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~6000</span> new melanoma diagnoses in women and men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~6000 new <span class=cloze>[...]</span> diagnoses in women and men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~6000 new <span class=cloze>melanoma</span> diagnoses in women and men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~6000 new melanoma diagnoses <span class=cloze>[...]</span> registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~6000 new melanoma diagnoses <span class=cloze>in women and men</span> registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new non-Hodgkins lymphoma diagnoses in women registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~5000</span> new non-Hodgkins lymphoma diagnoses in women registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~5000 new <span class=cloze>[...]</span> diagnoses in women registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~5000 new <span class=cloze>non-Hodgkins lymphoma</span> diagnoses in women registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~5000 new non-Hodgkins lymphoma diagnoses <span class=cloze>[...]</span> registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~5000 new non-Hodgkins lymphoma diagnoses <span class=cloze>in women</span> registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new oesophageal cancer diagnoses in men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~5000</span> new oesophageal cancer diagnoses in men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~5000 new <span class=cloze>[...]</span> diagnoses in men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~5000 new <span class=cloze>oesophageal cancer</span> diagnoses in men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~5000 new oesophageal cancer diagnoses <span class=cloze>[...]</span> registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~5000 new oesophageal cancer diagnoses <span class=cloze>in men</span> registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new pancreatic cancer diagnoses in women registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~4000</span> new pancreatic cancer diagnoses in women registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~4000 new <span class=cloze>[...]</span> diagnoses in women registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~4000 new <span class=cloze>pancreatic cancer</span> diagnoses in women registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~4000 new pancreatic cancer diagnoses <span class=cloze>[...]</span> registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~4000 new pancreatic cancer diagnoses <span class=cloze>in women</span> registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new renal cancer diagnoses in men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~5000</span> new renal cancer diagnoses in men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~5000 new <span class=cloze>[...]</span> diagnoses in men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~5000 new <span class=cloze>renal cancer</span> diagnoses in men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~5000 new renal cancer diagnoses <span class=cloze>[...]</span> registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~5000 new renal cancer diagnoses <span class=cloze>in men</span> registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new leukaemia diagnoses in women registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~3000</span> new leukaemia diagnoses in women registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~3000 new <span class=cloze>[...]</span> diagnoses in women registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~3000 new <span class=cloze>leukaemia</span> diagnoses in women registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~3000 new leukaemia diagnoses <span class=cloze>[...]</span> registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~3000 new leukaemia diagnoses <span class=cloze>in women</span> registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new lip/oral cavity/pharynx cancer diagnoses in men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~4000</span> new lip/oral cavity/pharynx cancer diagnoses in men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~4000 new <span class=cloze>[...]</span> diagnoses in men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~4000 new <span class=cloze>lip/oral cavity/pharynx cancer</span> diagnoses in men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~4000 new lip/oral cavity/pharynx cancer diagnoses <span class=cloze>[...]</span> registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~4000 new lip/oral cavity/pharynx cancer diagnoses <span class=cloze>in men</span> registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new renal cancer diagnoses in women registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~3000</span> new renal cancer diagnoses in women registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~3000 new <span class=cloze>[...]</span> diagnoses in women registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~3000 new <span class=cloze>renal cancer</span> diagnoses in women registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~3000 new renal cancer diagnoses <span class=cloze>[...]</span> registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~3000 new renal cancer diagnoses <span class=cloze>in women</span> registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;<span class=cloze>[...]</span> new leukaemia diagnoses in men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;<span class=cloze>~4000</span> new leukaemia diagnoses in men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~4000 new <span class=cloze>[...]</span> diagnoses in men registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~4000 new <span class=cloze>leukaemia</span> diagnoses in men registered in England, in 2012.<br><br>
According to the Office of National Statistics, there were&nbsp;~4000 new leukaemia diagnoses <span class=cloze>[...]</span> registered in England, in 2012.	According to the Office of National Statistics, there were&nbsp;~4000 new leukaemia diagnoses <span class=cloze>in men</span> registered in England, in 2012.<br><br>
Doses of risperidone should be&nbsp;<span class=cloze>[...]</span> in&nbsp;hepatic impairment.	Doses of risperidone should be&nbsp;<span class=cloze>reduced</span> in&nbsp;hepatic impairment.<br><br>
Doses of risperidone should be&nbsp;reduced in&nbsp;<span class=cloze>[...]</span>.	Doses of risperidone should be&nbsp;reduced in&nbsp;<span class=cloze>hepatic impairment</span>.<br><br>
<span class=cloze>[...]</span> is an absolute contraindication to using methlyphenidate.	<span class=cloze>Glaucoma</span> is an absolute contraindication to using methlyphenidate.<br><br>
Duloxetine is an&nbsp;<span class=cloze>[...]</span> type of antidepressant, recommended for&nbsp;diabetic neuropathy.	Duloxetine is an&nbsp;<span class=cloze>SNRI</span> type of antidepressant, recommended for&nbsp;diabetic neuropathy.<br><br>
Duloxetine is an&nbsp;SNRI type of antidepressant, recommended for&nbsp;<span class=cloze>[...]</span>.	Duloxetine is an&nbsp;SNRI type of antidepressant, recommended for&nbsp;<span class=cloze>diabetic neuropathy</span>.<br><br>
A <span class=cloze>[...]</span> may help pain arising from pelvic organs.	A <span class=cloze>superior hypogastric plexus block</span> may help pain arising from pelvic organs.<br><br>
A superior hypogastric plexus block may help pain arising from <span class=cloze>[...]</span>.	A superior hypogastric plexus block may help pain arising from <span class=cloze>pelvic organs</span>.<br><br>
<span class=cloze>[...]</span> may help with upper gastrointestinal pain.	<span class=cloze>Splanchnic nerve blocks</span> may help with upper gastrointestinal pain.<br><br>
Splanchnic nerve blocks may help with <span class=cloze>[...]</span> pain.	Splanchnic nerve blocks may help with <span class=cloze>upper gastrointestinal</span> pain.<br><br>
Amitryptiline is a <span class=cloze>[...]</span> whose mode of action is blocking presynaptic re-uptake of serotonin and noradrenaline.	Amitryptiline is a <span class=cloze>tricyclic antidepressant</span> whose mode of action is blocking presynaptic re-uptake of serotonin and noradrenaline.<br><br>
Amitryptiline is a tricyclic antidepressant whose mode of action is <span class=cloze>[...]</span>.	Amitryptiline is a tricyclic antidepressant whose mode of action is <span class=cloze>blocking presynaptic re-uptake of serotonin and noradrenaline</span>.<br><br>
All patients having coeliac plexus blocks require <span class=cloze>[...]</span> during the procedure, because of the risk of hypotension.	All patients having coeliac plexus blocks require <span class=cloze>IV fluids</span> during the procedure, because of the risk of hypotension.<br><br>
All patients having coeliac plexus blocks require IV fluids during the procedure, because of the risk of <span class=cloze>[...]</span>.	All patients having coeliac plexus blocks require IV fluids during the procedure, because of the risk of <span class=cloze>hypotension</span>.<br><br>
